value_id;source_product_code;source_service_code;source_service_char_code;source_field_number;source_column;target_attribute_path;default_value;value_type;apply_method;target_multiple_occurrence;rds_id;valid_from;valid_until;parent_service_code;som_attribute_path;prefix;dependent_char_code;main_bundle_access;sid_attribute_path;open_order_indicator;fixed_value;introduction_version;
BKSGC_5283;V0002;V0003;V0015;;ADDITIONAL_LOCATION_INFO;;;ADDRESS;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.ServiceLocation.Existing.AdditionalInformation;;;;;;;;
BKSGC_5284;V0002;V0003;V0124;;;;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.LocalAreaCode.Existing;;;;;;;;
BKSGC_5285;V0002;V0003;V0934;;;;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.Asb.Existing;;;;;;;;
BKSGC_5286;V0002;V0003;V0152;;;;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.TechnicalServiceId.Existing;;;;;;;;
BKSGC_5287;V0002;V0003;V0012;;;;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.ResponsibleRegion.Existing;;;;;;;;
BKSGC_5288;V0002;V0003;V0013;;;;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.ResponsibleDepartment.Existing;;;;;;;;
BKSGC_5289;V0002;V0003;V0123;;;;;CONFIGURED_VALUE;truncateString100;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.LocationTAE.Existing;;;;;;;;
BKSGC_5290;V0002;V0003;V0138;;;;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.LineType.Existing;;;;;;;;
BKSGC_5291;V0002;V0003;V0094;;;;;CONFIGURED_VALUE;convertConnection;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.OldAccess.Existing;;;;;;;;
BKSGC_5292;V0002;V0003;V0153;;;;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.IadPin.Existing;;;;;;;;
BKSGC_5293;V0002;V0003;V0144;;;;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.LineID.Existing;;;;;;;;
BKSGC_5294;V0002;V0003;I1323;;;;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.MultimediaPort.Existing;;;;;;;;
BKSGC_5295;I1100;I1040;;;SERVICE_SUBSCRIPTION_ID;;;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.CcbId.Existing;;;;;;;;
BKSGC_5296;I1100;I1040;;;-;;S;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.CcbId.Type;;;;;;;;
BKSGC_5297;I1100;I1040;;;-;;IGNORE;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.ProcessingType;;;;;;;;
BKSGC_5298;I1100;I1040;;;SERVICE_SUBSCRIPTION_ID;;;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.ID;F;;;;;;;
BKSGC_5299;I1100;I1040;;;SUPPORTED_OBJECT_ID;;;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.RefAccessID;A;;VOICE_SERVICE;;;;;
BKSGC_5300;I1100;I1040;;;CONTRACT_NUMBER;;;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.ContractNumber.Existing;;;;;;;;
BKSGC_5301;I1100;I1040;;;PRODUCT_COMMITMENT_NUMBER;;;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.ProductCommitmentNumber.Existing;;;;;;;;
BKSGC_5302;I1100;I1040;;;SERVICE_DELIVERY_ID;;;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.ServiceDeliveryContractNodeRefID;SDC;;;;;;;
BKSGC_5303;I1100;I1040;;;ASSOC_SKELETON_CONTRACT_NUMBER;;;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.SkeletonContractNodeRefID;SK;;;;;;;
BKSGC_5304;I1100;I1040;;;PRICING_STRUCTURE_CODE;;;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.AdslInternetConfiguration.PricingStructureCode.Existing;;;;;;;;
BKSGC_5305;I1100;I1040;;;VIS_TRACKING_POSITION;;;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.AdslInternetConfiguration.VisTrackingPosition.Existing;;;;;;;;
BKSGC_5306;I1100;I1040;;;BOARD_SIGN_NAME;;;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.AdslInternetConfiguration.BoardSignName.Existing;;;;;;;;
BKSGC_5307;I1100;I1040;;;BOARD_SIGN_DATE;;;CONTRACT;convertToDate;N;;01.01.1979;01.01.3000;;Functions.Internet.AdslInternetConfiguration.BoardSignDate.Existing;;;;;;;;
BKSGC_5308;I1100;I1040;;;PRIMARY_CUST_SIGN_NAME;;;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.AdslInternetConfiguration.PrimaryCustSignName.Existing;;;;;;;;
BKSGC_5309;I1100;I1040;;;PRIMARY_CUST_SIGN_DATE;;;CONTRACT;convertToDate;N;;01.01.1979;01.01.3000;;Functions.Internet.AdslInternetConfiguration.PrimaryCustSignDate.Existing;;;;;;;;
BKSGC_5310;I1100;I1040;;;MIN_PERIOD_DUR_VALUE;;;CONTRACT;convertToBigDecimal;N;;01.01.1979;01.01.3000;;Functions.Internet.AdslInternetConfiguration.MinimumDurationPeriod.Value.Existing;;;;;;;;
BKSGC_5311;I1100;I1040;;;MIN_PERIOD_DUR_UNIT_RD;;;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.AdslInternetConfiguration.MinimumDurationPeriod.Unit.Existing;;;;;;;;
BKSGC_5312;I1100;I1040;;;MIN_PERIOD_START_DATE;;;CONTRACT;convertToDate;N;;01.01.1979;01.01.3000;;Functions.Internet.AdslInternetConfiguration.MinimumDurationPeriod.StartDate.Existing;;;;;;;;
BKSGC_5313;I1100;I1040;;;AUTO_EXTENT_DUR_VALUE;;;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.AdslInternetConfiguration.AutoExtension.Value.Existing;;;;;;;;
BKSGC_5314;I1100;I1040;;;AUTO_EXTENT_DUR_UNIT_RD;;;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.AdslInternetConfiguration.AutoExtension.Unit.Existing;;;;;;;;
BKSGC_5315;I1100;I1040;;;AUTO_EXTENSION_IND;;false;CONTRACT;mapToTrueFalse;N;;01.01.1979;01.01.3000;;Functions.Internet.AdslInternetConfiguration.AutoExtension.AutoExtensionIndicator.Existing;;;;;;;;
BKSGC_5316;I1100;I1040;;;NOTICE_PERIOD_DUR_VALUE;;;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.AdslInternetConfiguration.NoticePeriod.Value.Existing;;;;;;;;
BKSGC_5317;I1100;I1040;;;NOTICE_PERIOD_DUR_UNIT_RD;;;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.AdslInternetConfiguration.NoticePeriod.Unit.Existing;;;;;;;;
BKSGC_5318;I1100;I1040;;;NOTICE_PERIOD_EXEMPT_INDICATOR;;;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.AdslInternetConfiguration.NoticePeriod.NoticeRestriction.Existing;;;;;;;;
BKSGC_5319;I1100;I1040;;;SPECIAL_TERMINATION_RIGHT_RD;;NONE;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.AdslInternetConfiguration.SpecialTerminationRight.Existing;;;;;;;;
BKSGC_5320;V0002;V0113;V0826;;;;;CONFIGURED_VALUE;convertBandwidthDSL;N;;01.01.1979;01.01.3000;V0010;Functions.Internet.AdslInternetConfiguration.DSLBandwidth.Existing;;;;;;;;
BKSGC_5321;V0002;V0113;V0875;;;;;CONFIGURED_VALUE;convertToBoolean;N;;01.01.1979;01.01.3000;V0010;Functions.Internet.AdslInternetConfiguration.AllowBandwidthDowngrade.Existing;;;;;;;;
BKSGC_5322;V0002;V0113;V0876;;;;;CONFIGURED_VALUE;convertBandwidthDSL;N;;01.01.1979;01.01.3000;V0010;Functions.Internet.AdslInternetConfiguration.DesiredBandwidth.Existing;;;;;;;;
BKSGC_5324;I1100;I1040;V0097;;;;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;Functions.Internet.AdslInternetConfiguration.DiscountType.Existing;;;;;;;;
BKSGC_5325;I1100;I1040;V0162;;;;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;Functions.Internet.AdslInternetConfiguration.DiscountID.Existing;;;;;;;;
BKSGC_5326;I1100;I1040;;;PRODUCT_CODE;;;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.AdslInternetConfiguration.ProductCode.Existing;;;;;;;;
BKSGC_5327;I1100;I1040;;;PRODUCT_NAME;;;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.AdslInternetConfiguration.ProductBillingName.Existing;;;;;;;;
BKSGC_5328;I1100;I1040;;;PRODUCT_VERSION_CODE;;;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.AdslInternetConfiguration.ProductVersionCode.Existing;;;;;;;;
